method,path_depth,has_auth,status_code,response_ms,hour,is_admin_path,is_debug_path,is_error,bola_suspected,label_id,label_name
0,1,1,204,65.068,22,0,0,0,0,0,normal
0,1,1,400,12.483,15,0,0,1,0,0,normal
1,2,0,403,49.741,20,0,0,1,0,2,jwt_bypass
0,3,1,200,47.253,20,0,0,0,1,1,bola
0,3,1,403,160.49,1,0,0,0,1,1,bola
0,1,1,200,33.242,14,0,0,0,0,0,normal
0,4,0,404,135.934,2,0,0,1,0,7,path_traversal
0,3,1,200,41.791,19,0,0,0,0,0,normal
1,4,1,200,70.98,15,0,0,0,0,0,normal
1,1,1,200,149.932,5,0,0,0,0,0,normal
1,1,1,201,7.588,10,0,0,0,0,0,normal
0,5,1,200,129.169,18,0,0,1,0,7,path_traversal
0,4,1,200,53.711,14,0,0,0,0,0,normal
1,2,0,401,15.886,0,0,0,1,0,6,rate_abuse
0,3,1,200,322.296,12,0,0,0,1,1,bola
3,1,1,204,80.048,23,0,0,0,0,0,normal
0,2,1,200,94.108,21,0,0,0,0,0,normal
1,4,0,404,143.149,20,0,0,1,0,0,normal
0,8,0,400,38.905,16,0,0,1,0,7,path_traversal
1,2,0,403,24.142,15,0,0,1,0,2,jwt_bypass
0,3,1,200,97.16,14,0,0,0,0,0,normal
1,2,0,401,39.843,16,0,0,1,0,6,rate_abuse
1,2,0,429,6.473,14,0,0,1,0,6,rate_abuse
1,3,0,404,25.676,18,0,0,1,0,0,normal
2,4,0,200,168.0,21,0,0,0,0,0,normal
4,4,1,200,7.955,2,0,0,0,0,0,normal
0,2,0,403,125.962,22,1,0,1,0,3,admin_access
0,2,1,200,6.707,1,0,0,0,0,0,normal
0,1,0,400,119.54,22,0,0,1,0,5,sql_injection
0,1,1,200,169.541,4,0,0,0,0,0,normal
3,2,0,200,12.312,7,0,0,0,0,0,normal
0,4,1,200,117.459,23,0,0,0,0,0,normal
0,4,1,422,170.426,2,0,0,1,0,0,normal
0,4,1,422,121.226,9,0,0,1,0,0,normal
2,3,1,200,56.487,7,0,0,0,0,0,normal
1,1,1,200,263.918,8,0,0,0,0,0,normal
0,4,1,200,125.358,2,0,0,0,0,0,normal
1,1,1,400,135.244,18,0,0,1,0,0,normal
0,4,1,200,5.471,7,0,0,0,0,0,normal
0,2,0,404,46.772,23,0,1,0,0,4,debug_access
0,2,0,401,2.336,20,1,0,1,0,3,admin_access
0,2,1,404,16.858,6,0,0,1,0,0,normal
1,2,0,403,87.731,9,0,0,1,0,2,jwt_bypass
0,5,0,200,79.018,8,0,0,1,0,7,path_traversal
0,3,1,403,3.601,14,1,0,1,0,3,admin_access
0,1,1,200,5.22,15,0,0,0,0,0,normal
2,2,1,201,16.165,7,0,0,0,0,0,normal
0,2,1,201,6.149,16,0,0,0,0,0,normal
0,4,1,200,44.435,17,0,0,0,0,0,normal
0,2,1,204,26.713,6,0,0,0,0,0,normal
2,2,0,200,140.376,11,0,0,0,0,0,normal
0,3,1,200,117.607,4,0,0,0,0,0,normal
0,2,1,201,54.683,6,0,0,0,0,0,normal
1,4,0,404,49.127,13,0,0,1,0,0,normal
0,3,1,200,74.604,17,0,0,0,0,0,normal
0,4,1,400,23.916,12,0,0,1,0,0,normal
0,3,1,200,46.147,11,0,0,0,0,0,normal
1,1,1,200,108.279,16,0,0,0,0,0,normal
0,2,1,201,16.018,10,0,0,0,0,0,normal
2,3,1,200,68.613,21,0,0,0,0,0,normal
0,2,0,500,29.085,7,0,0,1,0,5,sql_injection
0,2,0,403,50.565,3,1,0,1,0,3,admin_access
4,3,0,404,138.394,14,0,0,1,0,0,normal
0,2,0,200,40.95,1,0,0,0,0,0,normal
1,2,0,429,23.374,0,0,0,1,0,6,rate_abuse
0,3,1,204,205.284,20,0,0,0,0,0,normal
0,3,1,200,173.958,0,0,0,0,0,0,normal
0,3,0,403,307.392,7,1,0,1,0,3,admin_access
3,2,0,200,5.07,11,0,0,0,0,0,normal
1,2,0,200,125.2,4,0,0,0,0,0,normal
0,2,0,200,61.679,11,0,0,0,0,0,normal
1,3,0,500,59.478,13,0,0,1,0,5,sql_injection
0,6,1,200,50.988,1,0,0,1,0,7,path_traversal
0,4,1,200,5.993,10,0,0,0,0,0,normal
0,2,1,200,15.026,6,1,0,1,0,3,admin_access
1,2,0,200,50.141,5,0,0,1,0,2,jwt_bypass
1,2,1,400,72.954,10,0,0,1,0,5,sql_injection
0,8,1,404,2.804,1,0,0,1,0,7,path_traversal
0,2,0,404,14.055,8,0,0,1,0,0,normal
0,4,1,200,8.398,20,0,0,0,0,0,normal
1,3,1,404,3.785,18,0,0,1,0,0,normal
0,1,1,200,129.09,14,0,0,0,0,0,normal
3,4,0,201,121.093,11,0,0,0,0,0,normal
1,2,1,201,0.248,3,0,0,0,0,0,normal
0,3,1,403,97.292,4,0,0,0,1,1,bola
1,3,0,200,23.334,7,0,0,0,0,0,normal
0,2,0,404,138.716,6,0,1,0,0,4,debug_access
1,2,1,200,389.954,15,0,0,0,0,0,normal
0,2,0,200,7.357,6,0,1,0,0,4,debug_access
2,3,1,200,80.827,19,0,0,0,0,0,normal
1,3,0,500,44.194,6,0,0,1,0,5,sql_injection
0,2,0,200,40.53,2,0,1,0,0,4,debug_access
0,2,1,200,167.109,3,0,0,0,1,1,bola
0,3,1,200,30.38,18,0,0,0,1,1,bola
1,3,1,200,38.859,13,0,0,0,0,0,normal
1,2,0,401,32.612,23,0,0,1,0,6,rate_abuse
1,2,1,400,260.484,10,0,0,1,0,0,normal
1,1,1,500,75.266,4,0,0,1,0,5,sql_injection
0,1,1,200,7.101,17,0,0,0,0,0,normal
1,2,0,429,12.797,1,0,0,1,0,6,rate_abuse
0,1,1,200,32.679,12,0,0,0,0,0,normal
0,3,1,200,202.11,16,0,0,0,1,1,bola
1,2,0,401,56.794,19,0,0,1,0,2,jwt_bypass
0,2,1,200,50.245,19,0,0,0,1,1,bola
0,4,1,400,26.625,22,0,0,1,0,0,normal
0,3,1,200,293.815,17,1,0,1,0,3,admin_access
0,8,0,400,200.669,10,0,0,1,0,7,path_traversal
0,3,1,200,116.364,19,0,0,0,1,1,bola
0,1,0,400,89.912,12,0,0,1,0,5,sql_injection
4,1,0,400,96.583,21,0,0,1,0,0,normal
4,2,0,200,70.849,5,0,0,0,0,0,normal
1,3,1,200,229.329,21,0,0,0,0,0,normal
0,2,1,200,8.199,4,0,0,0,0,0,normal
1,2,0,429,23.253,7,0,0,1,0,6,rate_abuse
4,3,0,200,38.304,22,0,0,0,0,0,normal
1,2,0,200,104.27,21,0,0,1,0,2,jwt_bypass
1,2,0,429,9.593,7,0,0,1,0,6,rate_abuse
1,2,0,429,16.862,3,0,0,1,0,6,rate_abuse
0,2,1,200,160.976,0,0,0,0,0,0,normal
1,2,1,400,21.582,9,0,0,1,0,0,normal
3,3,1,200,150.254,16,0,0,0,0,0,normal
1,2,0,401,20.101,14,0,0,1,0,6,rate_abuse
0,3,1,400,50.488,6,0,0,1,0,0,normal
1,2,0,401,22.902,18,0,0,1,0,2,jwt_bypass
0,4,0,200,13.578,7,0,0,0,0,0,normal
0,2,0,404,51.411,4,0,1,0,0,4,debug_access
1,2,1,400,205.756,1,0,0,1,0,5,sql_injection
1,2,0,429,35.54,3,0,0,1,0,6,rate_abuse
1,1,1,422,111.92,10,0,0,1,0,0,normal
0,2,1,200,142.2,15,0,0,0,0,0,normal
3,4,0,200,80.223,0,0,0,0,0,0,normal
0,2,1,200,5.356,20,0,0,0,0,0,normal
2,2,1,201,84.956,15,0,0,0,0,0,normal
0,2,1,200,1.111,3,0,0,0,0,0,normal
1,2,1,200,19.958,10,0,0,0,0,0,normal
1,3,0,200,45.173,9,0,0,1,0,5,sql_injection
0,1,1,201,34.819,7,0,0,0,0,0,normal
0,3,1,200,0.145,0,0,0,0,1,1,bola
0,3,1,200,315.219,1,0,0,0,0,0,normal
2,4,1,401,58.428,17,0,0,1,0,0,normal
0,3,1,200,61.886,21,0,0,0,0,0,normal
3,4,0,400,3.027,5,0,0,1,0,0,normal
0,3,1,200,205.774,10,0,0,0,1,1,bola
0,2,1,403,42.802,11,0,0,0,1,1,bola
0,2,1,401,183.461,0,1,0,1,0,3,admin_access
4,4,1,200,58.32,2,0,0,0,0,0,normal
0,3,1,401,9.588,9,1,0,1,0,3,admin_access
2,4,1,401,92.163,6,0,0,1,0,0,normal
0,2,0,200,8.585,15,0,0,0,0,0,normal
0,3,1,401,12.132,18,1,0,1,0,3,admin_access
1,2,0,429,28.227,3,0,0,1,0,6,rate_abuse
0,2,0,404,4.932,16,0,1,0,0,4,debug_access
1,3,0,400,185.279,2,0,0,1,0,5,sql_injection
1,4,1,200,99.02,10,0,0,0,0,0,normal
2,4,1,400,2.243,23,0,0,1,0,0,normal
0,2,0,200,49.795,15,0,1,0,0,4,debug_access
1,4,1,200,90.772,6,0,0,0,0,0,normal
0,4,1,401,6.234,1,0,0,1,0,0,normal
0,3,1,200,4.643,5,0,0,0,0,0,normal
0,2,1,403,1.179,5,0,0,0,1,1,bola
0,1,1,200,91.253,9,0,0,0,0,0,normal
2,4,1,200,9.871,5,0,0,0,0,0,normal
1,1,1,500,28.381,15,0,0,1,0,5,sql_injection
2,4,1,200,61.486,12,0,0,0,0,0,normal
0,2,0,404,116.443,4,0,1,0,0,4,debug_access
0,3,1,403,98.83,15,0,0,0,1,1,bola
1,1,0,204,44.224,3,0,0,0,0,0,normal
1,2,0,200,48.902,12,0,0,1,0,2,jwt_bypass
4,3,0,201,70.003,3,0,0,0,0,0,normal
1,2,0,401,38.573,23,0,0,1,0,2,jwt_bypass
1,2,1,200,0.732,23,0,0,0,0,0,normal
0,4,1,200,125.739,20,0,0,0,0,0,normal
0,3,1,200,201.012,19,0,0,0,1,1,bola
0,3,1,200,84.656,16,0,0,0,1,1,bola
0,2,0,400,43.896,14,0,0,1,0,0,normal
0,2,1,200,4.478,9,0,0,0,0,0,normal
1,1,1,200,48.46,10,0,0,0,0,0,normal
0,1,0,200,148.127,14,0,0,0,0,0,normal
1,2,0,401,10.331,2,0,0,1,0,6,rate_abuse
1,2,0,401,46.261,7,0,0,1,0,2,jwt_bypass
0,4,1,201,26.192,13,0,0,0,0,0,normal
2,4,1,404,75.473,14,0,0,1,0,0,normal
1,2,0,401,26.515,19,0,0,1,0,6,rate_abuse
2,2,0,200,141.811,15,0,0,0,0,0,normal
1,2,0,200,19.047,18,0,0,1,0,6,rate_abuse
1,1,1,200,15.011,1,0,0,1,0,5,sql_injection
0,1,1,200,96.457,16,0,0,0,0,0,normal
0,4,0,401,155.216,3,0,0,1,0,0,normal
0,2,1,401,12.021,22,1,0,1,0,3,admin_access
1,2,0,429,23.711,15,0,0,1,0,6,rate_abuse
0,3,1,200,30.061,19,0,0,0,0,0,normal
0,3,1,403,105.3,22,0,0,0,1,1,bola
3,3,1,200,52.589,14,0,0,0,0,0,normal
0,1,1,200,2.452,3,0,0,0,0,0,normal
0,2,1,400,40.478,19,0,0,1,0,0,normal
0,2,1,200,77.872,17,0,0,0,0,0,normal
0,2,0,403,111.982,21,1,0,1,0,3,admin_access
0,2,0,200,25.417,2,0,1,0,0,4,debug_access
1,1,0,404,6.411,16,0,0,1,0,0,normal
0,1,0,204,142.017,17,0,0,0,0,0,normal
1,2,0,403,115.684,14,0,0,1,0,2,jwt_bypass
0,8,0,404,58.424,10,0,0,1,0,7,path_traversal
0,2,0,200,50.421,14,0,1,0,0,4,debug_access
0,2,0,200,78.597,20,0,1,0,0,4,debug_access
1,2,0,200,19.116,20,0,0,1,0,2,jwt_bypass
2,4,1,200,125.758,19,0,0,0,0,0,normal
0,2,0,404,409.253,7,0,1,0,0,4,debug_access
4,1,0,200,28.1,7,0,0,0,0,0,normal
4,3,1,200,15.792,23,0,0,0,0,0,normal
0,2,1,200,325.231,5,0,0,0,0,0,normal
0,4,0,400,5.473,4,0,0,1,0,7,path_traversal
0,1,1,200,6.584,3,0,0,0,0,0,normal
1,2,0,401,14.557,5,0,0,1,0,6,rate_abuse
1,1,1,400,19.709,17,0,0,1,0,5,sql_injection
1,1,0,200,65.823,12,0,0,0,0,0,normal
3,3,0,200,54.61,11,0,0,0,0,0,normal
0,2,1,200,180.876,16,0,0,0,0,0,normal
0,4,0,400,56.784,14,0,0,1,0,7,path_traversal
2,4,0,200,118.407,8,0,0,0,0,0,normal
0,2,1,200,3.773,4,0,0,0,0,0,normal
0,2,1,204,27.939,11,0,0,0,0,0,normal
1,4,1,200,200.509,10,0,0,0,0,0,normal
0,2,1,400,43.957,6,0,0,1,0,0,normal
0,3,1,200,81.75,17,0,0,0,1,1,bola
3,3,1,200,91.754,23,0,0,0,0,0,normal
0,3,1,200,80.304,13,0,0,0,0,0,normal
4,3,1,200,56.335,14,0,0,0,0,0,normal
1,4,1,200,10.769,20,0,0,0,0,0,normal
0,4,1,200,35.052,4,0,0,0,0,0,normal
0,2,0,200,483.878,23,1,0,1,0,3,admin_access
0,4,1,200,11.232,15,0,0,0,0,0,normal
0,1,1,422,123.232,5,0,0,1,0,0,normal
2,1,1,201,13.954,15,0,0,0,0,0,normal
0,2,1,200,15.518,11,0,0,0,0,0,normal
1,4,1,200,116.237,3,0,0,0,0,0,normal
0,2,1,200,73.608,4,0,0,0,1,1,bola
0,3,0,422,67.134,3,0,0,1,0,0,normal
0,4,1,404,113.386,0,0,0,1,0,0,normal
0,2,1,200,141.087,19,0,0,0,0,0,normal
0,2,1,200,94.106,1,0,0,0,1,1,bola
1,1,0,200,14.46,16,0,0,0,0,0,normal
0,2,1,200,148.842,4,0,0,0,0,0,normal
0,1,1,200,98.812,12,0,0,0,0,0,normal
1,1,1,400,33.68,5,0,0,1,0,5,sql_injection
0,2,1,200,31.877,19,0,0,0,0,0,normal
1,1,0,500,306.05,17,0,0,1,0,5,sql_injection
1,3,1,201,14.346,4,0,0,0,0,0,normal
0,2,0,404,185.355,13,0,0,1,0,0,normal
0,1,1,200,27.804,0,0,0,0,0,0,normal
0,3,0,200,157.424,14,0,0,0,0,0,normal
1,2,0,200,16.818,13,0,0,1,0,2,jwt_bypass
1,2,1,201,0.259,10,0,0,0,0,0,normal
0,1,1,201,139.908,0,0,0,0,0,0,normal
1,2,0,429,11.743,22,0,0,1,0,6,rate_abuse
0,3,1,200,76.185,7,0,0,0,0,0,normal
0,1,1,200,22.555,12,0,0,0,0,0,normal
1,2,0,200,10.504,7,0,0,1,0,6,rate_abuse
1,2,0,400,90.329,19,0,0,1,0,5,sql_injection
0,2,1,200,85.409,7,0,0,0,1,1,bola
0,2,1,200,22.196,19,0,0,0,1,1,bola
0,5,0,200,24.968,16,0,0,1,0,7,path_traversal
0,4,0,400,106.362,17,0,0,1,0,7,path_traversal
0,2,1,200,4.614,14,0,0,0,1,1,bola
0,2,0,200,45.988,22,0,1,0,0,4,debug_access
0,3,1,200,241.996,6,0,0,0,0,0,normal
3,3,0,201,71.966,7,0,0,0,0,0,normal
0,3,1,200,128.996,10,0,0,0,0,0,normal
1,1,0,500,92.487,12,0,0,1,0,5,sql_injection
0,3,1,200,8.731,12,0,0,0,0,0,normal
0,2,0,200,3.598,2,0,1,0,0,4,debug_access
0,3,0,200,21.398,0,0,0,0,0,0,normal
2,1,1,200,81.944,6,0,0,0,0,0,normal
2,4,1,422,1.391,5,0,0,1,0,0,normal
1,4,1,200,389.779,6,0,0,0,0,0,normal
3,3,1,201,42.887,3,0,0,0,0,0,normal
1,2,0,200,23.014,16,0,0,1,0,2,jwt_bypass
0,2,1,200,107.037,15,0,0,0,0,0,normal
3,3,1,422,155.402,9,0,0,1,0,0,normal
3,1,0,200,77.943,8,0,0,0,0,0,normal
0,3,1,403,71.313,13,0,0,0,1,1,bola
0,1,1,200,79.456,19,0,0,0,0,0,normal
0,1,0,201,160.179,22,0,0,0,0,0,normal
0,1,1,200,15.524,0,0,0,0,0,0,normal
0,3,1,500,58.841,16,0,0,1,0,5,sql_injection
1,3,1,200,23.893,0,0,0,0,0,0,normal
1,2,0,200,19.431,13,0,0,1,0,6,rate_abuse
0,2,1,200,13.768,17,0,0,0,0,0,normal
3,1,0,404,73.799,17,0,0,1,0,0,normal
0,2,1,404,189.178,21,0,0,1,0,0,normal
1,2,0,401,12.495,16,0,0,1,0,6,rate_abuse
0,1,0,200,78.29,5,0,0,0,0,0,normal
0,2,0,422,101.858,8,0,0,1,0,0,normal
0,2,0,404,7.277,3,0,1,0,0,4,debug_access
0,8,1,404,2.584,19,0,0,1,0,7,path_traversal
1,3,1,200,0.178,8,0,0,0,0,0,normal
0,3,1,200,9.917,18,0,0,0,1,1,bola
0,2,0,403,52.103,15,1,0,1,0,3,admin_access
0,2,1,200,67.02,19,0,0,0,1,1,bola
2,4,1,200,53.244,2,0,0,0,0,0,normal
0,3,1,200,204.365,1,0,0,0,0,0,normal
0,2,0,401,114.47,19,1,0,1,0,3,admin_access
0,1,0,400,24.623,19,0,0,1,0,5,sql_injection
0,3,0,400,112.129,5,0,0,1,0,5,sql_injection
1,3,0,400,56.803,9,0,0,1,0,5,sql_injection
0,2,0,404,0.847,12,0,1,0,0,4,debug_access
0,2,0,404,34.083,6,0,1,0,0,4,debug_access
0,2,1,200,3.301,0,0,0,0,0,0,normal
0,2,1,200,74.953,16,1,0,1,0,3,admin_access
1,2,0,422,23.725,14,0,0,1,0,0,normal
0,2,1,200,211.29,23,0,0,0,1,1,bola
1,1,1,200,4.146,23,0,0,0,0,0,normal
0,2,0,200,153.223,10,0,0,0,0,0,normal
1,3,0,400,94.108,18,0,0,1,0,5,sql_injection
4,3,1,204,77.264,16,0,0,0,0,0,normal
0,3,1,200,113.838,23,0,0,0,1,1,bola
0,1,1,200,188.312,6,0,0,0,0,0,normal
1,2,0,200,31.857,14,0,0,1,0,6,rate_abuse
0,2,1,401,49.504,11,1,0,1,0,3,admin_access
0,3,1,422,127.339,3,0,0,1,0,0,normal
0,1,1,200,91.873,10,0,0,0,0,0,normal
1,2,0,401,81.816,3,0,0,1,0,2,jwt_bypass
0,4,1,204,246.699,14,0,0,0,0,0,normal
0,4,1,200,17.154,18,0,0,0,0,0,normal
0,2,1,200,62.282,8,1,0,1,0,3,admin_access
0,1,1,200,45.62,12,0,0,0,0,0,normal
1,2,0,400,109.015,22,0,0,1,0,5,sql_injection
0,2,0,403,61.385,13,1,0,1,0,3,admin_access
1,4,0,200,27.334,18,0,0,0,0,0,normal
1,2,0,429,11.23,23,0,0,1,0,6,rate_abuse
0,7,1,400,54.169,18,0,0,1,0,7,path_traversal
3,3,0,200,7.495,10,0,0,0,0,0,normal
0,1,1,422,165.499,12,0,0,1,0,0,normal
0,2,0,404,12.035,15,0,1,0,0,4,debug_access
0,2,1,403,22.25,10,0,0,0,1,1,bola
1,2,0,401,5.645,11,0,0,1,0,6,rate_abuse
0,2,0,200,3.497,3,0,1,0,0,4,debug_access
1,1,0,404,195.619,4,0,0,1,0,0,normal
0,2,1,200,63.705,14,0,0,0,0,0,normal
0,4,1,200,7.24,6,0,0,0,0,0,normal
2,2,0,401,108.575,4,0,0,1,0,0,normal
0,2,0,200,54.863,20,0,1,0,0,4,debug_access
1,1,1,201,50.98,13,0,0,0,0,0,normal
1,4,1,200,7.123,16,0,0,0,0,0,normal
0,2,0,200,102.542,21,0,0,0,0,0,normal
0,1,1,200,13.393,10,0,0,0,0,0,normal
0,3,1,403,46.395,1,0,0,0,1,1,bola
2,4,1,200,96.757,22,0,0,0,0,0,normal
1,3,1,200,77.891,11,0,0,0,0,0,normal
0,1,0,422,68.359,2,0,0,1,0,0,normal
